case_id,condition,stop_time_s,is_steady,egr_ratio_cmd,current_A,current_density_A_cm2,V_cell_meas,V_cell_sim,V_cell_err,V_stack_sim,pO2_ref_no_egr_kPa,pO2_ca_in_kPa,pH2O_caIn_kPa,RH_ca_in,T_ca_in_C,T_stack_sim_C,lambda_O2_actual,pressure_order_ok,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_boundary_kPa,Q_gen_W,Q_cool_W,hum_transfer_kg_s,RH_hum_wet_out,pH2O_hum_wet_out_kPa,oxygen_stoich_cmd,dV_cell_30s,dT_stack_30s_C,dRH_ca_in_30s,model_name,pO2_error_kPa,pO2_target_kPa,severe_oxygen_starvation
bench_j1p10,same_current_egr_constant_pO2_qualitative,300,1,0.4,418,1.1,0.6660375,0.674258119911924,0.00822061991192446,10.7881299185908,45.4942895556403,45.5156481205072,18.6595850572619,0.478229364693806,75.2286415428398,79.2347261611526,3.21344439420745,1,284.61510969918,255.619473017721,216.225,3877.31369402905,3654.72241398742,0.000121998679009833,0.38007044946702,19.1988370376345,3.94354015267373,2.72617697242294e-05,0.0273064983563245,0.000203286975478556,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.0213585648668726,45.4942895556403,0
bench_j1p30,same_current_egr_constant_pO2_qualitative,300,1,0.1,494,1.3,0.646875,0.647350603530824,0.000475603530823987,10.3576096564932,47.7236666952661,47.7229248470033,31.6004813666458,0.622047056655251,81.6472768999073,80.0009027795798,1.86876601899721,1,270.101371967,232.849571390257,221.225,4794.95682969237,4285.40964104901,0.000293698195186136,0.753959980644958,29.9465553981024,1.96713008040073,1.32685223096507e-05,0.0140093757514279,0.00029688747997636,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.000741848262762801,47.7236666952661,0
bench_j1p30,same_current_egr_constant_pO2_qualitative,300,1,0.2,494,1.3,0.646875,0.648365121728657,0.00149012172865726,10.3738419476585,47.7236666952661,47.7642548268534,31.7902091900094,0.625748070430293,81.6486148303179,79.993307902203,2.10237496800391,1,281.213288608861,242.489839197886,221.225,4786.93807785669,4277.4730261982,0.000281328234035463,0.741104398588897,29.4249435132905,2.32479009501904,1.3125137621306e-05,0.0139964791146809,0.000294639522966267,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.0405881315873202,47.7236666952661,0
bench_j1p30,same_current_egr_constant_pO2_qualitative,300,1,0.3,494,1.3,0.646875,0.648982535215973,0.00210753521597284,10.3837205634556,47.7236666952661,47.5062011608336,32.2674109023162,0.635590775641781,81.6310494270179,79.988686366933,2.30008400136791,1,292.427417162959,251.522403245013,221.225,4782.05804165295,4272.64354264592,0.000254054228002697,0.741914885961336,29.473082192321,2.68245010963735,1.30262322793895e-05,0.0139881132191135,0.000294127309964809,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.217465534432492,47.7236666952661,0
bench_j1p30,same_current_egr_constant_pO2_qualitative,300,1,0.4,494,1.3,0.646875,0.657245114017205,0.0103701140172053,10.5159218242753,47.7236666952661,47.5077316754361,20.9285201728364,0.537723472987645,75.1690418103362,80.2574213836246,3.22291903438145,1,296.166190027427,268.942812273486,221.225,4716.75061880801,4554.40595281738,0.000152310608964305,0.427698230803463,22.3850951824689,3.93426016080145,1.32030261534855e-05,0.0139892201658114,9.04210863658106e-05,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.215935019829978,47.7236666952661,0
bench_j1p50,same_current_egr_constant_pO2_qualitative,300,1,0.1,570,1.5,0.62398125,0.631671619453365,0.00769036945336521,10.1067459112538,47.5507442537077,47.65541072843,31.8857871942245,0.625926779893049,81.7160602867574,79.8836091138945,2.04928884489323,1,269.107460710023,235.104052188763,213.825,5675.63483058531,5177.73298775205,0.000372197410378268,0.701860573873233,28.6012079438829,2.14857674115583,3.57059360867051e-06,0.00413734801847454,8.81498718210416e-05,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.104666474722258,47.5507442537077,0
bench_j1p50,same_current_egr_constant_pO2_qualitative,300,1,0.2,570,1.5,0.62398125,0.63251517497606,0.00853392497605976,10.120242799617,47.5507442537077,47.6935018300866,32.1383929727923,0.631015555378568,81.7109415317172,79.8775870414721,2.28252372939545,1,279.503027321853,245.821873654436,213.825,5667.94160421833,5170.09741111603,0.000356223088978061,0.690958292218421,28.1558738385405,2.50667286468181,3.53261709451491e-06,0.00413385342356776,8.79585827185947e-05,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,0.142757576378926,47.5507442537077,0
bench_j1p50,same_current_egr_constant_pO2_qualitative,300,1,0.3,570,1.5,0.62398125,0.633033871747208,0.00905262174720844,10.1285419479553,47.5507442537077,47.4243893540207,32.6709684245782,0.641830968872303,81.6970616213069,79.8738843213276,2.47988822768422,1,289.965440215898,255.940746593899,213.825,5663.21108966546,5165.40261556784,0.000324096170183567,0.692600866032628,28.2347808864568,2.86476898820778,3.50437535834303e-06,0.00413143525814519,8.85944969566399e-05,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.12635489968698,47.5507442537077,0
bench_j1p50,same_current_egr_constant_pO2_qualitative,300,1,0.4,570,1.5,0.62398125,0.640492279445215,0.0165110294452152,10.2478764711234,47.5507442537077,47.4152047162379,21.5612469797508,0.537020941227919,75.911565597688,80.1408554781836,3.26107656881251,1,293.355997829815,271.892421568632,213.825,5595.19041145964,5505.2033625597,0.00019104313726066,0.472362411939698,24.6643852713898,3.9390573587857,3.62835669631689e-06,0.00412091516940905,2.03757033910845e-05,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.135539537469846,47.5507442537077,0
bench_j1p70,same_current_egr_constant_pO2_qualitative,300,1,0.1,646,1.7,0.60195,0.614620129876545,0.0126701298765455,9.83392207802473,47.6629672802536,47.6015317820158,31.4778402288636,0.609505457459788,82.0568675503582,80.2845543473291,2.05512755458085,1,268.403644489349,233.131942181223,205.725,6608.63033759603,6109.13974921465,0.000411492880922981,0.70406636805429,28.7630918055696,2.15546380166201,1.67141915652369e-06,0.00212044333224526,4.39299972661011e-05,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix,-0.0614354982377847,47.6629672802536,0
